lbs.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Envelope,,,,,,,,,,,,,,,,
,8.49,8.49,8.58,8.65,8.69,8.72,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.59,9.57,10.83
Pak,,,,,,,,,,,,,,,,
1,8.52,8.52,10.22,10.71,11.00,11.08,9.55,9.83,10.02,10.68,10.87,10.92,11.24,11.66,13.36,14.87
74,16.47,16.51,32.24,33.30,37.13,39.45,52.29,56.45,66.19,90.80,91.66,92.76,95.66,100.89,103.03,105.05
75,16.53,16.59,32.49,33.61,37.27,39.92,52.86,57.02,66.93,91.93,92.82,93.95,96.82,102.01,104.23,106.21
76,16.63,16.70,32.74,33.97,37.59,40.25,53.35,57.64,67.66,93.13,94.13,95.12,97.98,103.13,105.40,107.46
77,16.75,16.83,32.99,34.25,37.91,40.57,53.95,58.24,68.41,94.27,95.31,96.28,99.11,104.25,106.59,108.68
78,16.85,16.92,33.19,34.57,38.25,40.86,54.51,58.83,69.15,95.45,96.50,97.43,100.29,105.38,107.81,109.93
79,16.99,17.04,33.45,34.83,38.58,41.33,55.01,59.40,69.91,96.61,97.65,98.62,101.48,106.67,108.93,111.11
80,17.11,17.18,33.68,35.12,38.92,41.81,55.60,60.04,70.64,97.73,98.88,99.84,102.69,107.84,110.12,112.30
81,17.27,17.31,33.97,35.37,39.28,42.07,56.08,60.63,71.38,98.96,100.05,101.09,103.93,109.01,111.34,113.62
82,17.36,17.42,34.24,35.59,39.61,42.41,56.64,61.25,72.03,100.06,101.22,102.31,105.16,110.18,112.52,114.76
83,17.44,17.55,34.50,35.83,39.96,42.72,57.16,61.84,72.72,101.22,102.41,103.58,106.38,111.34,113.70,115.98
84,17.66,17.74,34.79,36.07,40.28,42.99,57.71,62.39,73.40,102.34,103.58,104.76,107.59,112.55,114.89,117.17
85,17.78,17.85,35.03,36.34,40.63,43.32,58.24,63.00,74.07,103.53,104.73,106.05,108.70,113.88,116.11,118.49
86,17.91,18.00,35.34,36.60,41.00,43.58,58.76,63.60,74.74,104.68,106.02,107.20,109.89,115.14,117.36,119.67
87,18.03,18.13,35.59,36.90,41.34,43.89,59.25,64.20,75.46,105.82,107.15,108.42,111.04,116.47,118.61,120.83
88,18.13,18.22,35.89,37.16,41.74,44.14,59.82,64.78,76.09,106.95,108.32,109.58,112.18,117.84,119.83,122.08
89,18.24,18.32,36.11,37.35,42.09,44.77,60.33,65.42,76.80,108.10,109.51,110.74,113.35,119.16,121.04,123.29
90,18.33,18.46,36.43,37.64,42.45,45.12,60.87,65.96,77.48,109.29,110.69,111.92,114.57,120.47,122.27,124.54
91,18.46,18.59,36.63,37.87,42.77,45.37,61.39,66.42,78.11,110.44,111.88,113.09,115.69,121.81,123.52,125.73
92,18.56,18.68,36.90,38.07,43.15,45.71,61.91,66.86,78.79,111.59,113.00,114.28,116.81,123.13,124.77,127.04
93,18.67,18.81,37.19,38.41,43.47,46.11,62.47,67.32,79.42,112.79,114.19,115.44,117.93,124.41,126.04,128.35
94,18.77,18.91,37.55,38.55,43.87,46.36,63.00,67.80,80.07,113.93,115.32,116.63,119.10,125.70,127.38,129.47
95,18.88,19.01,37.78,38.84,44.19,46.58,63.48,68.25,80.74,115.03,116.52,117.80,120.24,127.03,128.73,130.70
96,19.00,19.07,38.06,39.05,44.54,46.82,64.04,68.70,81.38,116.20,117.72,118.94,121.44,128.35,129.95,131.98
97,19.06,19.20,38.29,39.29,44.92,47.12,64.56,69.33,82.06,117.36,118.84,120.12,122.59,129.59,131.33,133.28
98,19.26,19.35,38.58,39.53,45.28,47.49,65.10,69.88,82.64,118.49,120.05,121.28,123.80,130.92,132.62,134.47
99,19.36,19.45,38.77,39.77,45.66,47.81,65.61,70.32,83.27,119.66,121.18,122.46,124.93,132.23,133.86,135.72
lbs.,,,,,,,,,,,,,,,,
100 - 154,0.22,0.22,0.42,0.42,0.49,0.51,0.70,0.74,0.86,1.24,1.26,1.26,1.31,1.37,1.40,1.47
"155 - 9,999",0.22,0.22,0.42,0.42,0.49,0.51,0.70,0.74,0.86,1.24,1.26,1.26,1.31,1.37,1.40,1.47
