lbs.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Envelope,,,,,,,,,,,,,,,,
,19.45,19.70,20.09,20.27,20.37,20.41,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.70
Pak,,,,,,,,,,,,,,,,
1,16.32,16.32,19.59,20.53,21.09,21.23,7.59,7.59,7.59,7.59,7.59,7.59,7.62,7.68,7.75,7.98
73,31.31,31.52,61.57,63.45,70.67,74.92,41.51,45.00,47.31,42.41,43.48,44.01,46.63,47.82,49.76,52.71
74,31.67,31.75,61.98,64.04,71.37,75.86,42.04,45.49,47.85,42.96,44.02,44.55,47.25,48.44,50.39,53.41
75,31.78,31.90,62.48,64.62,71.67,76.74,42.47,46.00,48.41,43.45,44.55,45.08,47.79,49.01,51.01,54.07
76,31.99,32.11,62.95,65.33,72.28,77.39,42.72,46.52,48.98,43.86,44.96,45.52,48.26,49.49,51.50,54.59
77,32.19,32.37,63.42,65.86,72.90,78.01,43.13,46.97,49.54,44.20,45.33,45.90,48.63,49.86,51.93,55.04
78,32.40,32.55,63.80,66.47,73.54,78.56,43.54,47.44,50.14,44.53,45.69,46.27,49.01,50.30,52.34,55.47
79,32.66,32.75,64.30,66.97,74.19,79.47,44.20,47.95,50.68,45.03,46.19,46.79,49.57,50.89,52.96,56.13
80,32.90,33.05,64.77,67.53,74.84,80.38,44.62,48.45,51.24,45.83,46.99,47.66,50.48,51.83,54.03,57.30
81,33.19,33.28,65.33,68.00,75.51,80.88,45.11,48.94,51.81,47.04,48.32,49.05,51.99,53.40,55.61,58.89
82,33.37,33.49,65.83,68.41,76.16,81.53,45.42,49.45,52.33,48.22,49.52,50.14,53.05,54.59,56.90,60.29
83,33.54,33.75,66.33,68.91,76.83,82.14,45.68,49.86,52.75,49.39,50.48,51.24,54.20,55.69,58.01,61.51
84,33.96,34.10,66.88,69.35,77.45,82.64,46.44,50.32,53.21,49.76,50.89,51.61,54.62,56.11,58.43,61.98
85,34.19,34.34,67.35,69.88,78.12,83.29,46.85,50.83,53.68,50.17,51.30,52.06,55.07,56.58,58.92,62.50
86,34.42,34.60,67.94,70.38,78.83,83.79,47.26,51.33,54.13,50.52,51.62,52.41,55.42,56.95,59.36,62.94
87,34.66,34.86,68.41,70.93,79.50,84.37,47.59,51.72,54.66,50.84,52.00,52.80,55.83,57.39,59.78,63.39
88,34.86,35.01,69.00,71.43,80.24,84.84,47.98,52.24,55.11,51.18,52.34,53.15,56.17,57.76,60.18,63.83
89,35.07,35.22,69.44,71.81,80.91,86.08,48.42,52.71,55.58,51.75,52.93,53.76,56.85,58.46,60.93,64.62
90,35.25,35.51,70.05,72.37,81.62,86.75,48.80,53.09,56.07,52.17,53.35,54.20,57.30,58.90,61.42,65.14
91,35.51,35.75,70.43,72.81,82.23,87.22,49.23,53.52,56.58,52.50,53.74,54.59,57.68,59.31,61.86,65.61
92,35.69,35.92,70.93,73.19,82.97,87.87,49.66,53.90,57.05,52.91,54.12,54.98,58.12,59.77,62.32,66.11
93,35.89,36.16,71.49,73.84,83.58,88.66,50.04,54.28,57.54,53.40,54.63,55.51,58.67,60.34,62.94,66.74
94,36.10,36.36,72.19,74.13,84.34,89.13,50.48,54.70,58.02,53.74,55.00,55.88,59.08,60.76,63.38,67.22
95,36.30,36.57,72.64,74.69,84.96,89.54,50.89,54.98,58.53,54.00,55.25,56.17,59.33,61.01,63.67,67.53
96,36.54,36.68,73.16,75.07,85.64,90.04,51.31,55.38,59.00,54.29,55.61,56.49,59.69,61.42,64.08,67.94
97,36.66,36.92,73.63,75.54,86.37,90.60,51.74,55.89,59.53,54.65,55.95,56.89,60.12,61.82,64.51,68.41
98,37.04,37.21,74.19,76.01,87.07,91.30,52.12,56.36,60.06,55.13,56.41,57.36,60.59,62.33,65.06,69.00
99,37.24,37.39,74.54,76.48,87.78,91.92,52.53,56.73,60.59,55.51,56.83,57.80,61.04,62.80,65.55,69.54
lbs.,,,,,,,,,,,,,,,,
100 - 154,0.43,0.43,0.82,0.82,0.94,0.98,0.56,0.60,0.65,0.62,0.63,0.66,0.69,0.72,0.75,0.79
"155 - 9,999",0.43,0.43,0.82,0.82,0.94,0.98,0.56,0.60,0.65,0.62,0.63,0.66,0.69,0.72,0.75,0.79
